# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 202.4042058; 1.8132394; -1.5812013; 0.0000063; 29.9999713; 0.0006854
0.4998148; 202.9039936; 1.8080401; -1.5811956; 0.0000165; 29.9999827; 0.0000949
0.9996296; 203.4037814; 1.8028449; -1.5811852; 0.0000255; 29.9999843; -0.0000075
1.4994445; 203.9035693; 1.7976561; -1.5811703; 0.0000340; 29.9999842; -0.0000033
1.9992593; 204.4033573; 1.7924757; -1.5811512; 0.0000421; 29.9999841; -0.0000001
2.4990741; 204.9031454; 1.7873058; -1.5811282; 0.0000499; 29.9999841; 0.0000001
2.9988889; 205.4029336; 1.7821484; -1.5811013; 0.0000579; 29.9999841; 0.0000000
3.4987038; 205.9027220; 1.7770055; -1.5810703; 0.0000662; 29.9999841; 0.0000000
3.9985186; 206.4025105; 1.7718792; -1.5810350; 0.0000749; 29.9999841; 0.0000000
4.4983334; 206.9022992; 1.7667716; -1.5809953; 0.0000840; 29.9999841; 0.0000000
4.9981482; 207.4020882; 1.7616850; -1.5809509; 0.0000935; 29.9999841; 0.0000000
5.4979630; 207.9018773; 1.7566217; -1.5809017; 0.0001034; 29.9999841; 0.0000000
5.9977779; 208.4016667; 1.7515844; -1.5808474; 0.0001138; 29.9999841; 0.0000000
6.4975927; 208.9014564; 1.7465754; -1.5807879; 0.0001245; 29.9999841; 0.0000000
6.9974075; 209.4012465; 1.7415976; -1.5807228; 0.0001357; 29.9999841; 0.0000000
7.4972223; 209.9010368; 1.7366537; -1.5806521; 0.0001473; 29.9999841; 0.0000000
7.9970371; 210.4008275; 1.7317466; -1.5805755; 0.0001594; 29.9999841; 0.0000000
8.4968520; 210.9006186; 1.7268793; -1.5804927; 0.0001718; 29.9999841; 0.0000000
8.9966668; 211.4004101; 1.7220550; -1.5804036; 0.0001847; 29.9999841; 0.0000000
9.4964816; 211.9002020; 1.7172768; -1.5803080; 0.0001980; 29.9999841; 0.0000000
9.9962964; 212.3999945; 1.7125481; -1.5802056; 0.0002117; 29.9999841; 0.0000000
10.4961113; 212.8997874; 1.7078723; -1.5800963; 0.0002258; 29.9999841; 0.0000000
10.9959261; 213.3995808; 1.7032529; -1.5799798; 0.0002403; 29.9999841; 0.0000000
11.4957409; 213.8993748; 1.6986936; -1.5798560; 0.0002551; 29.9999841; 0.0000000
11.9955557; 214.3991693; 1.6941980; -1.5797247; 0.0002703; 29.9999841; 0.0000000
12.4953705; 214.8989645; 1.6897700; -1.5795857; 0.0002858; 29.9999841; 0.0000000
12.9951854; 215.3987602; 1.6854133; -1.5794389; 0.0003015; 29.9999841; 0.0000000
13.4950002; 215.8985567; 1.6811320; -1.5792842; 0.0003175; 29.9999841; 0.0000000
13.9948150; 216.3983538; 1.6769300; -1.5791215; 0.0003336; 29.9999841; 0.0000000
14.4946298; 216.8981516; 1.6728113; -1.5789507; 0.0003499; 29.9999841; 0.0000000
14.9944446; 217.3979500; 1.6687801; -1.5787717; 0.0003663; 29.9999841; 0.0000000
15.4942595; 217.8977493; 1.6648403; -1.5785845; 0.0003826; 29.9999841; 0.0000000
15.9940743; 218.3975492; 1.6609962; -1.5783892; 0.0003989; 29.9999841; 0.0000000
16.4938891; 218.8973500; 1.6572517; -1.5781858; 0.0004151; 29.9999841; 0.0000000
16.9937039; 219.3971514; 1.6536109; -1.5779743; 0.0004310; 29.9999841; 0.0000000
17.4935188; 219.8969537; 1.6500777; -1.5777550; 0.0004467; 29.9999841; 0.0000000
17.9933336; 220.3967567; 1.6466562; -1.5775279; 0.0004619; 29.9999841; 0.0000000
