# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 253.4992929; 12.4524958; -1; 3.8634938; 10.4437108; 0.3697262
1.9962133; 253.9826566; 13.5881537; -0.4047826; 0.0451215; 10.5141428; 1.1275393
3.9924267; 254.7316003; 15.5993795; -0.3063741; 0.0496820; 10.7260811; 0.9959631
5.9886400; 255.2716630; 17.7378819; -0.1888874; 0.0477560; 10.9098637; 0.8817566
7.9848533; 255.5616837; 19.7106283; -0.1070267; 0.0356959; 11.0700260; 0.8946069
9.9810666; 255.7101752; 21.7351958; -0.0414007; 0.0297541; 11.2301882; 0.8868739
11.9772800; 255.7341430; 23.8006929; 0.0175116; 0.0276492; 11.3867426; 0.8848010
13.9734933; 255.6425043; 25.8291237; 0.0723873; 0.0264883; 11.5408149; 0.8966927
15.9697066; 255.4546482; 27.7460276; 0.1228337; 0.0260120; 11.6948873; 1.0630461
17.9659200; 255.1474600; 29.7819474; 0.1768099; 0.0262728; 11.8749536; 1.1161128
19.9621333; 254.7512053; 31.7134720; 0.2272922; 0.0244747; 12.0611161; 1.2897492
21.9583466; 254.2687049; 33.6040335; 0.2709540; 0.0197684; 12.2727238; 1.5045619
23.9545600; 253.7039510; 35.5105487; 0.3020551; 0.0108677; 12.5150551; 1.6333581
25.9507733; 253.1078078; 37.3757187; 0.3140948; 0.0037997; 12.7729271; 1.8574319
27.9469866; 252.4924953; 39.2464011; 0.3213776; 0.0035533; 13.0599895; 1.9256254
29.9431999; 251.8438265; 41.1724919; 0.3282239; 0.0035107; 13.3510765; 2.1091902
31.9394133; 251.2063067; 43.0199052; 0.3369680; 0.0053827; 13.6627974; 2.1578673
33.9356266; 250.5224343; 44.9346550; 0.3497019; 0.0071312; 13.9745182; 2.3204283
35.9318399; 249.8231380; 46.8076192; 0.3653994; 0.0084753; 14.3021431; 2.4184256
37.9280533; 249.0926104; 48.6673672; 0.3836264; 0.0097984; 14.6358015; 2.4916955
39.9242666; 248.3196674; 50.5266221; 0.4048700; 0.0113075; 14.9717934; 2.6626890
41.9204799; 247.5078117; 52.3608625; 0.4290268; 0.0128397; 15.3227017; 2.7243741
43.9166933; 246.6540973; 54.1628593; 0.4564936; 0.0147915; 15.6736100; 2.8510375
45.9129066; 245.7377188; 55.9570795; 0.4887848; 0.0174032; 16.0326108; 2.9743746
47.9091199; 244.7601511; 57.7154189; 0.5272471; 0.0210375; 16.3987677; 3.0468769
49.9053332; 243.7387149; 59.3839641; 0.5730277; 0.0259526; 16.7655603; 3.2533194
51.9015466; 242.5827734; 61.0711158; 0.6294823; 0.0292911; 17.1485467; 3.3267977
53.8977599; 241.3805315; 62.6223395; 0.6902808; 0.0326742; 17.5315330; 3.4398442
55.8939732; 240.0636542; 64.1156752; 0.7536352; 0.0289466; 17.9189278; 3.5280698
57.8901866; 238.6680542; 65.5275268; 0.8025768; 0.0198983; 18.3077452; 3.4848353
59.8863999; 237.2299848; 66.8713596; 0.8339257; 0.0134032; 18.6838562; 3.4821095
61.8826132; 235.7372172; 68.1936697; 0.8564190; 0.0091778; 19.0522584; 3.3976774
63.8788266; 234.2241694; 69.4855854; 0.8696885; 0.0028706; 19.4049872; 3.2640180
65.8750399; 232.7146018; 70.7598038; 0.8671666; -0.0051067; 19.7379047; 3.2881548
67.8712532; 231.1658297; 72.0941618; 0.8500019; -0.0105498; 20.0677003; 2.9849686
69.8674665; 229.6989841; 73.4053202; 0.8343979; -0.0055459; 20.3624622; 3.0284933
71.8636799; 228.2124417; 74.7641488; 0.8274920; -0.0014107; 20.6572240; 2.9762162
73.8598932; 226.7090020; 76.1459763; 0.8294137; 0.0040496; 20.9428563; 2.9262801
75.8561065; 225.2065652; 77.5035543; 0.8452489; 0.0119562; 21.2199479; 2.9647428
77.8523199; 223.7362095; 78.7692717; 0.8784757; 0.0232457; 21.4970394; 3.1760788
79.8485332; 222.0935118; 80.0517255; 0.9430827; 0.0396623; 21.7899740; 3.2223852
81.8447465; 220.4797394; 81.1164908; 1.0384918; 0.0595997; 22.0832086; 3.4648067
83.8409599; 218.7361631; 82.0018127; 1.1646735; 0.0644482; 22.3942200; 3.5654911
