# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 40.7582835; 8.8974641; -1.5411151; -0.1174943; 8.2199986; 2.7071690
1.4990421; 42.2442739; 8.7847977; -1.7384659; -0.0701161; 8.6996952; 2.9010694
2.9980842; 43.7104004; 8.5217863; -1.7252863; 0.0617914; 9.1859864; 2.5363312
4.4971262; 45.2080489; 8.3788890; -1.5979934; 0.0982314; 9.5909583; 2.4133746
5.9961683; 46.7106643; 8.4538472; -1.4429622; 0.1047711; 9.9610231; 2.4933793
7.4952104; 48.1780288; 8.7582249; -1.2918449; 0.0961907; 10.3294406; 2.7651750
8.9942525; 49.5852532; 9.2671689; -1.1594364; 0.0807312; 10.7232257; 3.1196362
10.4932946; 50.9218219; 9.9420806; -1.0510081; 0.0643195; 11.1508072; 3.4812868
11.9923366; 52.1877346; 10.7430884; -0.9659274; 0.0497175; 11.6093795; 3.8085165
13.4913787; 53.3907161; 11.6368434; -0.9007058; 0.0378120; 12.0911515; 4.0874897
14.9904208; 54.5412122; 12.5979552; -0.8513332; 0.0284853; 12.5877156; 4.3169027
16.4894629; 55.6496644; 13.6078519; -0.8142575; 0.0213022; 13.0917158; 4.4997018
17.9885050; 56.7253378; 14.6531087; -0.7866074; 0.0158116; 13.5971874; 4.6398980
19.4875470; 57.7759610; 15.7240050; -0.7661317; 0.0116393; 14.0994436; 4.7409446
20.9865891; 58.8076558; 16.8133830; -0.7510719; 0.0085001; 14.5947957; 4.7875953
22.4856312; 59.8233089; 17.9139799; -0.7400462; 0.0062682; 15.0785170; 4.8069418
23.9846733; 60.8288780; 19.0246389; -0.7318929; 0.0047030; 15.5490608; 4.7913031
25.4837153; 61.8269303; 20.1429034; -0.7256331; 0.0037934; 16.0043126; 4.7403924
26.9827574; 62.8189373; 21.2672374; -0.7204222; 0.0031939; 16.4423270; 4.6807288
28.4817995; 63.8057658; 22.3965664; -0.7160530; 0.0025564; 16.8636691; 4.6311370
29.9808416; 64.7883307; 23.5297204; -0.7128391; 0.0016993; 17.2704335; 4.5909980
31.4798837; 65.7678961; 24.6651916; -0.7110485; 0.0006928; 17.6644296; 4.5323982
32.9789257; 66.7458097; 25.8010791; -0.7108281; -0.0003965; 18.0449601; 4.5116941
34.4779678; 67.7247226; 26.9367625; -0.7122351; -0.0014809; 18.4159448; 4.4976826
