# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 141.2698665; 8.0549415; -1.1426813; 0.0252478; 10.9249589; -0.2931242
2.4957639; 143.4378653; 9.1744906; -1.0370161; 0.0535715; 10.8577894; 1.8416994
4.9915277; 145.4921860; 10.6080372; -0.8817782; 0.0636440; 11.2731754; 1.5961135
7.4872916; 147.3025530; 12.3624278; -0.7195559; 0.0632576; 11.6211673; 1.5078857
9.9830554; 148.8075508; 14.3655140; -0.5719771; 0.0564051; 11.9406106; 1.6725183
12.4788193; 150.0142518; 16.5458306; -0.4427791; 0.0477056; 12.2852189; 2.0410795
14.9745832; 150.9558304; 18.8631425; -0.3325785; 0.0396740; 12.6930969; 2.5174479
17.4703470; 151.6622046; 21.2611320; -0.2438499; 0.0311852; 13.1787943; 3.1115480
19.9661109; 152.1782228; 23.6992720; -0.1767984; 0.0227871; 13.7554352; 3.8996629
22.4618747; 152.5551495; 26.1689819; -0.1293293; 0.0150351; 14.4456662; 4.6007751
24.9576386; 152.8364197; 28.6525716; -0.0978431; 0.0106398; 15.2197953; 5.1500580
27.4534025; 153.0512046; 31.1374883; -0.0760049; 0.0071530; 16.0420954; 5.5150509
29.9491663; 153.2216311; 33.6250768; -0.0620056; 0.0042666; 16.8783102; 5.6793810
32.4449302; 153.3655995; 36.1134054; -0.0547584; 0.0014063; 17.6981961; 5.7161856
34.9406941; 153.5011124; 38.6029556; -0.0553653; -0.0018299; 18.4867153; 5.6747343
37.4364579; 153.6478416; 41.0931009; -0.0635520; -0.0047464; 19.2375735; 5.3312456
39.9322218; 153.8242909; 43.5832438; -0.0791674; -0.0077179; 19.9172111; 4.4921648
42.4279856; 154.0488801; 46.0665119; -0.1025840; -0.0109847; 20.4723731; 3.6054511
44.9237495; 154.3406289; 48.5412787; -0.1330811; -0.0133551; 20.9072899; 2.6754673
47.4195134; 154.7144103; 51.0074489; -0.1682679; -0.0146798; 21.2242653; 0.8801009
49.9152772; 155.1789203; 53.4615920; -0.2062550; -0.0156431; 21.3275054; -1.0845206
52.4110411; 155.7391520; 55.8963362; -0.2464237; -0.0164678; 21.2002140; -2.5363794
54.9068049; 156.3989226; 58.3054012; -0.2885579; -0.0173001; 20.8994896; -3.4145101
57.4025688; 157.1615775; 60.6818466; -0.3329456; -0.0183202; 20.4876803; -3.4304957
59.8983327; 158.0325125; 63.0220899; -0.3800734; -0.0194655; 20.0654337; -3.3849408
62.3940965; 159.0166081; 65.3181138; -0.4302776; -0.0207116; 19.6398982; -3.3614695
64.8898604; 160.1180245; 67.5595722; -0.4837522; -0.0220736; 19.2079862; -3.3624479
67.3856242; 161.3405301; 69.7352812; -0.5407389; -0.0235689; 18.7660060; -3.3761881
69.8813881; 162.6875415; 71.8332622; -0.6014938; -0.0251937; 18.3114895; -3.3970875
72.3771520; 164.1626279; 73.8415032; -0.6662447; -0.0268887; 17.8424771; -3.3735632
74.8729158; 165.7736217; 75.7522224; -0.7354464; -0.0285828; 17.3641803; -3.2104727
77.3686797; 167.5156412; 77.5422313; -0.8087960; -0.0301331; 16.8964373; -3.0364325
79.8644435; 169.3856370; 79.1948052; -0.8858554; -0.0315222; 16.4418112; -2.3867523
82.3602074; 171.3781196; 80.6943712; -0.9657893; -0.0324609; 16.0754351; -1.5004693
