# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 209.8484230; 7.7061199; -1.7308919; 0.0329710; 15.6804324; -2.1423682
2.9960699; 212.8226543; 7.3912745; -1.6165159; 0.0429254; 15.2656016; -1.2440359
5.9921398; 215.8178867; 7.4540162; -1.4803155; 0.0483055; 15.0194592; -0.6019381
8.9882097; 218.7727151; 7.9437033; -1.3308418; 0.0519729; 14.8989012; -0.1382181
11.9842796; 221.6158583; 8.8805071; -1.1729451; 0.0542621; 14.8710805; -0.1382181
14.9803495; 224.2731950; 10.2587754; -1.0116345; 0.0542357; 14.8432076; -0.0869608
17.9764193; 226.6839020; 12.0412188; -0.8600856; 0.0470044; 14.8256444; -0.3856527
20.9724892; 228.8286159; 14.1400037; -0.7397767; 0.0328523; 14.7475030; -4.3408333
23.9685591; 230.7408973; 16.4190188; -0.6622706; 0.0230439; 13.8375564; -4.9267832
26.9646290; 232.4743594; 18.8159977; -0.5787110; 0.0442987; 12.7261932; -3.0654671
29.9606989; 233.9155331; 21.4460518; -0.4153824; 0.0628487; 11.9827912; -2.1683644
32.9567688; 234.8414154; 24.3191220; -0.2022583; 0.0759089; 11.4277794; -1.1879360
35.9528387; 235.0808816; 27.3183267; 0.0489700; 0.0881892; 11.1119694; -0.5125013
38.9489086; 234.5187236; 30.2651070; 0.3324444; 0.0960322; 10.9729160; -0.2352687
41.9449785; 233.1310194; 32.9302062; 0.6284641; 0.0954171; 10.9084885; -0.0820925
44.9410484; 231.0282015; 35.1015790; 0.9049579; 0.0837990; 10.8859180; -0.1095813
47.9371183; 228.6137365; 36.6785351; 0.9903730; -0.0210487; 10.8557167; -0.0733793
50.9331882; 225.9839967; 37.9581339; 1.2767273; 0.1022087; 10.8354458; -0.0733793
53.9292580; 222.9785825; 38.4044394; 1.5579924; 0.0842400; 10.8151370; 2.0735744
56.9253279; 219.9784421; 38.0515877; 1.8173787; 0.0854772; 11.3750752; 0.8590394
59.9213978; 217.1948319; 36.9558069; 2.0675929; 0.0735205; 11.5991301; 2.0244773
62.9174677; 214.7133240; 35.2843039; 2.2406237; 0.0359154; 12.1107708; -1.6413195
65.9135376; 212.4109639; 33.3470181; 2.2757699; -0.0125158; 11.6976816; -5.6959224
68.9096075; 210.0377335; 31.5052858; 2.1603104; -0.0620054; 10.1343471; -3.1678054
71.9056774; 207.3686575; 30.1433718; 1.9018018; -0.1061180; 9.1500305; -1.6724570
74.9017473; 204.3911171; 29.7075729; 1.5110286; -0.1407517; 8.5849555; -0.8098422
77.8978172; 201.6008062; 30.5456546; 1.0371800; -0.1482357; 8.2975162; -0.0428699
80.8938871; 199.2465404; 32.2482847; 0.7746369; -0.1749478; 8.2820222; -0.0428699
83.8899570; 197.5939444; 34.7318375; 0.4392325; -0.0919084; 8.2664992; 5.2572906
86.8860269; 196.7062778; 37.6531482; 0.1514455; -0.0948484; 9.9918682; 2.4681849
89.8820967; 196.7087727; 40.6686543; -0.1572283; -0.1016171; 10.7064064; 0.2802779
92.8781666; 197.6091845; 43.5067066; -0.4563392; -0.0964036; 10.7845539; 0.7149317
95.8742365; 199.2502325; 45.9852534; -0.6969460; -0.0640773; 10.9813739; 4.1975123
98.8703064; 201.3733596; 48.1064327; -0.8668089; -0.0482343; 12.0723922; 4.8791146
101.8663763; 203.7786762; 49.8905559; -0.9914964; -0.0337790; 13.2279624; 5.1906381
104.8624462; 206.3464075; 51.4118443; -1.0744043; -0.0208989; 14.3555571; 5.1711987
107.8585161; 209.0190488; 52.7637888; -1.1268354; -0.0143575; 15.3970311; 5.1518321
110.8545860; 211.7428118; 53.9888957; -1.1693711; -0.0148163; 16.3688443; 5.1325381
113.8506559; 214.5214530; 55.0918264; -1.2178809; -0.0176842; 17.2827645; 5.1133163
116.8467258; 217.3593314; 56.0485801; -1.2744073; -0.0197931; 18.1475523; 5.0941665
119.8427957; 220.2513676; 56.8367375; -1.3354477; -0.0206303; 18.9699397; 4.3510971
122.8388656; 223.1874674; 57.4449983; -1.3974896; -0.0204717; 19.6451265; 3.8581164
125.8349354; 226.1557131; 57.8719695; -1.4579101; -0.0195653; 20.2249689; 3.7411824
128.8310053; 229.1440193; 58.1240102; -1.5146529; -0.0180475; 20.7717851; 3.9434266
131.8270752; 232.1414790; 58.2139312; -1.5659689; -0.0159973; 21.3329937; 4.4352486
134.8231451; 235.1393410; 58.1600700; -1.6103412; -0.0134974; 21.9470556; 4.9989542
137.8192150; 238.1318491; 57.9852070; -1.6465947; -0.0106793; 22.6191883; 4.9802327
140.8152849; 241.1160352; 57.7148799; -1.6742591; -0.0079407; 23.2695065; 4.9615813
143.8113548; 244.0912423; 57.3724783; -1.6957246; -0.0064092; 23.8997996; 4.9429997
146.8074247; 247.0593661; 56.9727066; -1.7129628; -0.0050663; 24.5116210; 4.9244878
149.8034946; 250.0228371; 56.5271558; -1.7265503; -0.0039847; 25.1063296; 4.9060451
152.7995645; 252.9803444; 56.0461117; -1.7370383; -0.0030083; 25.6851220; 4.8876716
155.7956344; 255.9331010; 55.5383978; -1.7446479; -0.0020654; 26.2490591; 4.8693668
158.7917043; 258.8824752; 55.0123730; -1.7494889; -0.0011637; 26.7990864; 4.8511306
161.7877741; 261.8298921; 54.4760315; -1.7516713; -0.0002910; 27.3360510; 4.8329627
164.7838440; 264.7767989; 53.9370864; -1.7512692; 0.0005613; 27.8607156; 4.8148628
167.7799139; 267.7246240; 53.4030715; -1.7483272; 0.0014043; 28.3737696; 4.7968307
170.7759838; 270.6747379; 52.8814477; -1.7428556; 0.0022490; 28.8758391; 4.7788662
173.7720537; 273.6284684; 52.3797080; -1.7348290; 0.0031084; 29.3674942; 4.7609689
176.7681236; 276.5866515; 51.9055585; -1.7241866; 0.0039951; 29.8492564; 1.5056210
179.7641935; 279.5501719; 51.4669301; -1.7108315; 0.0049208; 30.0000000; 0.0000000
182.7602634; 282.5197382; 51.0721241; -1.6946289; 0.0058976; 30.0000000; 0.0000000
185.7563333; 285.4957323; 50.7299304; -1.6754164; 0.0069348; 30.0000000; 0.0000000
188.7524032; 288.4782292; 50.4497241; -1.6529796; 0.0080427; 30.0000000; 0.0000000
191.7484731; 291.4671508; 50.2414827; -1.6271947; 0.0090176; 30.0000000; 0.0000000
194.7445430; 294.4610468; 50.1130850; -1.6000760; 0.0090936; 30.0000000; 0.0000000
197.7406128; 297.4571767; 50.0663066; -1.5726883; 0.0091845; 30.0000000; 0.0000000
200.7366827; 300.4534480; 50.1019421; -1.5450890; 0.0092162; 30.0000000; 0.0000000
203.7327526; 303.4475081; 50.2200571; -1.5177453; 0.0089166; 30.0000000; 0.0000000
