# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 52.0754981; 102.4980273; -1.6049710; 0.0110201; 16.1146246; -1.2047437
1.9963640; 54.0751696; 102.4516045; -1.5831127; 0.0108132; 15.9646770; -1.1848985
3.9927279; 56.0721291; 102.4483704; -1.5618282; 0.0104831; 15.8158128; -1.1652026
5.9890919; 58.0669004; 102.4868407; -1.5413502; 0.0100260; 15.6680439; -1.1465544
7.9854559; 60.0598987; 102.5651286; -1.5219138; 0.0094455; 15.5212667; -1.1299804
9.9818198; 62.0515054; 102.6809388; -1.5037429; 0.0087512; 15.3752403; -1.1166069
11.9781838; 64.0422178; 102.8315977; -1.4870376; 0.0079651; 15.2295669; -1.1078179
13.9745478; 66.0293293; 103.0137803; -1.4719847; 0.0071119; 15.0836498; -1.1017805
15.9709117; 68.0130417; 103.2240551; -1.4586948; 0.0062095; 14.9371142; -1.0915863
17.9672757; 69.9943945; 103.4589229; -1.4472232; 0.0053036; 14.7905028; -1.0439018
19.9636397; 71.9747469; 103.7149595; -1.4375135; 0.0044179; 14.6489235; -0.9001459
21.9600036; 73.9544104; 103.9886866; -1.4295804; 0.0035239; 14.5257331; -0.6670939
23.9563676; 75.9254818; 104.2755449; -1.4231668; 0.0029303; 14.4337589; -0.5319768
25.9527316; 77.8954446; 104.5737587; -1.4184147; 0.0016155; 14.3599916; -0.4788531
27.9490955; 79.8702376; 104.8793356; -1.4163876; 0.0009735; 14.2932651; -0.4683534
29.9454595; 81.8498573; 105.1899521; -1.4136434; 0.0024124; 14.2276991; -0.2248574
31.9418234; 83.8238589; 105.5168930; -1.3950001; 0.0165380; 14.1961131; 0.0111117
33.9381874; 85.8015234; 105.9125273; -1.3471446; 0.0307241; 14.1976756; 0.1706156
35.9345514; 87.7439706; 106.4309615; -1.2661011; 0.0506935; 14.2216460; 0.2600657
37.9309153; 89.6142737; 107.1491284; -1.1290236; 0.0882119; 14.2581060; 0.2810294
